time,lat_5deg,lon_5deg,ph
1850-12-31,-35.0,-180.0,8.178831
1850-12-31,-35.0,-175.0,8.174504
1850-12-31,-35.0,-170.0,8.170173
1850-12-31,-35.0,-165.0,8.166833
1850-12-31,-35.0,-160.0,8.166098
1850-12-31,-35.0,-155.0,8.164985
1850-12-31,-35.0,-150.0,8.1640835
1850-12-31,-35.0,-145.0,8.163146
1850-12-31,-35.0,-140.0,8.159931
1850-12-31,-35.0,-135.0,8.159082
1850-12-31,-35.0,-130.0,8.157147
1850-12-31,-35.0,-125.0,8.154351
1850-12-31,-35.0,-120.0,8.152428
1850-12-31,-35.0,-115.0,8.151631
1850-12-31,-35.0,-110.0,8.150395
1850-12-31,-35.0,-105.0,8.149322
1850-12-31,-35.0,-100.0,8.149612
1850-12-31,-35.0,-95.0,8.148616
1850-12-31,-35.0,-90.0,8.146767
1850-12-31,-35.0,-85.0,8.143464
1850-12-31,-35.0,-80.0,8.142273
1850-12-31,-35.0,-75.0,8.154662
1850-12-31,-35.0,-70.0,8.129219
1850-12-31,-35.0,-55.0,8.189352
1850-12-31,-35.0,-50.0,8.177748
1850-12-31,-35.0,-45.0,8.174305
1850-12-31,-35.0,-40.0,8.179576
1850-12-31,-35.0,-35.0,8.183937
1850-12-31,-35.0,-30.0,8.183813
1850-12-31,-35.0,-25.0,8.180284
1850-12-31,-35.0,-20.0,8.176875
1850-12-31,-35.0,-15.0,8.17517
1850-12-31,-35.0,-10.0,8.17232
1850-12-31,-35.0,-5.0,8.169404
1850-12-31,-35.0,-0.0,8.172039
1850-12-31,-35.0,5.0,8.182002
1850-12-31,-35.0,10.0,8.195019
1850-12-31,-35.0,15.0,8.201337
1850-12-31,-35.0,20.0,8.1973095
1850-12-31,-35.0,25.0,8.185493
1850-12-31,-35.0,30.0,8.185944
1850-12-31,-35.0,35.0,8.192296
1850-12-31,-35.0,40.0,8.187565
1850-12-31,-35.0,45.0,8.185349
1850-12-31,-35.0,50.0,8.177525
1850-12-31,-35.0,55.0,8.173011
1850-12-31,-35.0,60.0,8.169577
1850-12-31,-35.0,65.0,8.166947
1850-12-31,-35.0,70.0,8.164941
1850-12-31,-35.0,75.0,8.161149
1850-12-31,-35.0,80.0,8.157013
1850-12-31,-35.0,85.0,8.151231
1850-12-31,-35.0,90.0,8.147057
1850-12-31,-35.0,95.0,8.146113
1850-12-31,-35.0,100.0,8.151206
1850-12-31,-35.0,105.0,8.169448
1850-12-31,-35.0,110.0,8.202377
1850-12-31,-35.0,115.0,8.215299
1850-12-31,-35.0,120.0,8.201851
1850-12-31,-35.0,125.0,8.188345
1850-12-31,-35.0,130.0,8.17715
1850-12-31,-35.0,135.0,8.172189
1850-12-31,-35.0,140.0,8.173929
1850-12-31,-35.0,150.0,8.199763
1850-12-31,-35.0,155.0,8.1972
1850-12-31,-35.0,160.0,8.196873
1850-12-31,-35.0,165.0,8.191205
1850-12-31,-35.0,170.0,8.186759
1850-12-31,-35.0,175.0,8.185584
1850-12-31,-35.0,180.0,8.18153
1850-12-31,-30.0,-180.0,8.173662
1850-12-31,-30.0,-175.0,8.170835
1850-12-31,-30.0,-170.0,8.170841
1850-12-31,-30.0,-165.0,8.168536
1850-12-31,-30.0,-160.0,8.166577
1850-12-31,-30.0,-155.0,8.16496
1850-12-31,-30.0,-150.0,8.165065
1850-12-31,-30.0,-145.0,8.164504
1850-12-31,-30.0,-140.0,8.162135
1850-12-31,-30.0,-135.0,8.1610365
1850-12-31,-30.0,-130.0,8.158344
1850-12-31,-30.0,-125.0,8.153359
1850-12-31,-30.0,-120.0,8.148493
1850-12-31,-30.0,-115.0,8.142354
1850-12-31,-30.0,-110.0,8.1380625
1850-12-31,-30.0,-105.0,8.135872
1850-12-31,-30.0,-100.0,8.1382885
1850-12-31,-30.0,-95.0,8.139729
1850-12-31,-30.0,-90.0,8.142043
1850-12-31,-30.0,-85.0,8.14466
1850-12-31,-30.0,-80.0,8.142883
1850-12-31,-30.0,-75.0,8.121661
1850-12-31,-30.0,-70.0,8.03164
1850-12-31,-30.0,-50.0,8.170539
1850-12-31,-30.0,-45.0,8.164063
1850-12-31,-30.0,-40.0,8.1645
1850-12-31,-30.0,-35.0,8.162022
1850-12-31,-30.0,-30.0,8.159176
1850-12-31,-30.0,-25.0,8.156182
1850-12-31,-30.0,-20.0,8.153246
1850-12-31,-30.0,-15.0,8.1524
1850-12-31,-30.0,-10.0,8.154006
1850-12-31,-30.0,-5.0,8.158199
1850-12-31,-30.0,-0.0,8.168435
